car name,engine_capacity,cylinder,horse_power,top_speed,brand,country,num_seats,Price_USD
Peugeot Traveller 2021 L3 VIP,2.0,4,180,221,peugeot,ksa,5,37955.25
Suzuki Jimny 2021 1.5L Automatic,1.5,4,102,145,suzuki,ksa,4,26671.95
Ford Bronco 2021 2.3T Big Bend,2.3,4,420,221,ford,ksa,5,53460.0
Honda HR-V 2021 1.8 i-VTEC EX,1.8,4,140,190,honda,ksa,5,25740.45
Peugeot Expert 2021 Van L3 A/T,2.0,4,120,170,peugeot,ksa,5,22368.15
Peugeot Expert 2021 Van L3 M/T,2.0,4,120,170,peugeot,ksa,5,20667.15
Renault Koleos 2021 2.5L LE (4WD),2.5,4,170,199,renault,ksa,5,31563.000000000004
Ford Bronco 2021 2.7T Outer Banks,2.7,6,542,221,ford,ksa,5,64260.00000000001
Suzuki Jimny 2021 1.5L M/T,1.5,4,102,145,suzuki,ksa,4,24808.95
Honda HR-V 2021 1.8 i-VTEC DX,1.8,4,140,190,honda,ksa,5,19530.45
GAC GS8 2021 2.0T GL (2WD),2.0,4,198,200,gac,ksa,7,30109.050000000003
Aston Martin DB11 AMR 2021 5.2T V12,5.2,12,700,221,aston-martin,ksa,5,295825.5
GAC GS4 2021 1.5T GE,1.5,4,152,180,gac,ksa,5,19840.95
Aston Martin DB11 2021 4.0T V8 Volante,4.0,8,503,322,aston-martin,ksa,4,281738.79000000004
Toyota Highlander 2021 2.5L Hybrid Limited (FWD),2.5,4,292,221,toyota,ksa,7,48414.780000000006
Aston Martin DBS Superleggera 2021 5.2T V12,5.2,12,900,221,aston-martin,ksa,5,374344.74000000005
GAC GS4 2021 1.5T GS,1.5,4,152,180,gac,ksa,5,17388.0
Toyota Highlander 2021 2.5L Hybrid Limited (AWD),2.5,4,292,221,toyota,ksa,7,50549.4
Aston Martin DB11 2021 4.0T V8 Coupe,4.0,8,503,300,aston-martin,ksa,4,260111.25000000003
Hyundai Palisade 2021 3.8L GDi (AWD) Premium - Nappa,3.8,6,355,221,hyundai,ksa,5,54054.0
Toyota Corolla 2021 1.6L XLI Executive,1.6,4,121,190,toyota,ksa,5,21087.27
Toyota Corolla 2021 1.6L GLI,1.6,4,121,190,toyota,ksa,5,20662.29
Toyota Corolla 2021 1.6L XLI,1.6,4,121,190,toyota,ksa,5,20134.440000000002
Toyota Corolla 2021 1.6L XLI Executive Moonroof,1.6,4,121,190,toyota,ksa,5,22040.370000000003
Hyundai Palisade 2021 3.5L GDi (FWD),3.5,6,335,221,hyundai,ksa,5,38416.950000000004
Toyota Corolla 2021 1.6L GLI Moonroof,1.6,4,121,190,toyota,ksa,5,23638.77
Toyota Corolla 2021 2.0L GLI Moonroof,2.0,4,168,200,toyota,ksa,5,26835.84
MG HS 2021 2.0T Comfort,2.0,4,231,210,mg,ksa,5,23179.5
MG HS 2021 2.0T Luxury (AWD),2.0,4,231,210,mg,ksa,5,27526.5
Toyota Corolla 2021 1.8L XLI Executive Hybrid,1.8,4,121,190,toyota,ksa,5,24284.34
Toyota Corolla 2021 1.8L GLI Moonroof Hybrid,1.8,4,121,190,toyota,ksa,5,26712.72
Toyota Supra 2021 3.0T GR,3.0,6,382,250,toyota,ksa,2,64552.950000000004
Chevrolet Corvette 2021 6.2L 2LT Convertible,6.2,8,495,312,chevrolet,ksa,2,106461.0
Chevrolet Corvette 2021 6.2L 3LT Coupe,6.2,8,495,312,chevrolet,ksa,2,103329.0
Land Rover Range Rover Evoque 2021 2.0T R-Dynamic HSE (200 PS),2.0,4,200,216,land-rover,ksa,5,74364.75
Ford Transit 2021 3.7L 150XL (Medium Roof),3.7,6,275,158,ford,ksa,2,42174.0
Kia Sportage 2021 2.0L MPI LX (FWD),2.0,4,155,181,kia,ksa,5,22304.7
Land Rover Range Rover Evoque 2021 2.0T R-Dynamic HSE (250 PS),2.0,4,250,230,land-rover,ksa,5,79674.3
Land Rover Range Rover Evoque 2021 2.0T S (200 PS) AWD,2.0,4,200,216,land-rover,ksa,5,59709.15
Ford Figo Sedan 2021 1.5L Ambient,1.5,4,112,172,ford,ksa,5,13108.230000000001
Kia Soul 2021 2.0L MPI A/T,2.0,4,152,221,kia,ksa,5,22328.460000000003
Kia Soul 2021 1.6L MPI A/T,1.6,4,124,221,kia,ksa,5,21392.91
Volvo XC60 2021 2.0T T5 FWD Momentum,2.0,4,254,220,volvo,ksa,5,52582.5
Volvo S60 2021 2.0T T5 Inscription (AWD),1.7,4,250,240,volvo,ksa,5,51300.0
Volvo XC60 2021 2.0T T5 AWD R Design,2.0,4,254,220,volvo,ksa,5,60852.600000000006
Nissan Kicks 2021 1.6 S,1.6,4,118,180,nissan,ksa,5,16200.000000000002
Ford Escort 2021 1.5L Ambient,1.5,3,120,184,ford,ksa,5,21681.0
Volvo XC60 2021 2.0T T6 AWD Inscription,2.0,4,320,230,volvo,ksa,5,65091.600000000006
Kia Niro 2021 1.6L HEV,1.6,4,139,172,kia,ksa,5,32853.33
Toyota Rush 2021 1.5L GX,1.5,4,103,175,toyota,ksa,7,20741.4
Hyundai Santa Fe 2021 3.5L Mid (AWD),3.5,6,363,221,hyundai,ksa,5,35610.3
Changan CS95 2021 2.0T Classic (7-Seater) FWD,2.0,4,233,185,changan,ksa,7,28534.95
Great Wall Wingle 7 2021 2.0T Double Cabin (4x4),2.0,4,315,221,great-wall,ksa,5,19553.13
Hyundai Santa Fe 2021 3.5L High (AWD),3.5,6,363,221,hyundai,ksa,5,38580.3
Changan CS95 2021 2.0T Royal (7-Seater) AWD,2.0,4,233,190,changan,ksa,7,34123.950000000004
Great Wall Wingle 5 2021 2.2L Single Cabin Standard,2.2,4,105,140,great-wall,ksa,2,13343.130000000001
Hyundai Santa Fe 2021 2.4L GL Panorama (FWD),2.4,4,226,221,hyundai,ksa,5,28350.000000000004
Hyundai Santa Fe 2021 3.5L Base (AWD),3.5,6,363,221,hyundai,ksa,5,32937.3
Great Wall Wingle 7 2021 2.0T Single Cabin (RWD),2.0,4,315,221,great-wall,ksa,5,17379.63
Hyundai Santa Fe 2021 3.5L Limited (AWD),3.5,6,363,221,hyundai,ksa,5,43807.5
Kia K900 2021 5.0L GDI V8,5.0,8,505,221,kia,ksa,5,83295.27
Kia Cerato 2021 1.6L LX,1.6,4,128,190,kia,ksa,5,17077.5
Kia K900 2021 3.8L GDI V6,3.8,6,400,221,kia,ksa,5,57941.73
Mercedes-Benz G-Class 2021 G63,4.0,8,585,220,mercedes-benz,ksa,5,186838.38
BMW X5 2021 40i xDrive,3.0,6,340,243,bmw,ksa,5,115384.50000000001
Mercedes-Benz G-Class 2021 G500,4.0,8,422,250,mercedes-benz,ksa,5,135751.95
Rolls Royce Cullinan 2021 6.75L Twin-Turbo (563 HP),6.7,12,850,221,rolls-royce,ksa,5,384345.0
Audi A7 Sportback 2021 55 TFSI quattro (340 HP),3.0,6,340,250,audi,ksa,5,112563.00000000001
BMW 8 Series Coupe 2021 M850i xDrive,4.4,8,523,250,bmw,ksa,4,161865.0
BMW X5 2021 50i xDrive,4.4,6,462,243,bmw,ksa,5,140896.80000000002
Audi Q8 2021 55 TFSI quattro (340 HP),3.0,6,340,250,audi,ksa,5,95040.0
Infiniti QX50 2021 2.0T Autograph (AWD),2.0,4,268,230,infiniti,ksa,5,69374.61
Mercedes-Benz AMG GT 4-Door Coupe 2021 63 S 4MATIC+,4.0,8,639,310,mercedes-benz,ksa,4,237600.00000000003
Kia Cerato 2021 1.6L SX,1.6,4,128,190,kia,ksa,5,18414.0
Suzuki Swift 2021 1.2L GL,1.2,4,82,165,suzuki,ksa,5,17912.88
BMW 6 Series Gran Turismo 2021 630i,2.0,4,258,250,bmw,ksa,5,98307.0
GMC Sierra Denali 2021 6.2L Crew Cab (AWD),6.2,8,420,180,gmc,ksa,5,74412.0
Suzuki Swift 2021 1.2L GLX,1.2,4,82,165,suzuki,ksa,5,18754.2
RAM 1500 2021 5.7L Rebel (Double Cab),5.7,8,395,175,ram,ksa,5,68121.0
Borgward BX7 2021 2.0T AWD Ultimate (7-Seater),2.0,4,224,206,borgward,ksa,7,38134.8
Audi S3 Sedan 2021 2.0 TFSI quattro (290 HP),2.0,4,290,250,audi,ksa,5,58063.50000000001
Kia Rio Hatchback 2021 1.4L MPI,1.4,4,100,180,kia,ksa,5,14820.300000000001
Mini Clubman 2021 Cooper S ALL4,2.0,4,192,228,mini,ksa,5,51975.0
Kia Rio Hatchback 2021 1.6L MPI,1.6,4,123,190,kia,ksa,5,16899.300000000003
Borgward BX7 2021 2.0T Elite FWD (7-Seater),2.0,4,224,206,borgward,ksa,7,35986.14
Peugeot 508 2021 1.6T GT Line,1.6,4,165,220,peugeot,ksa,5,35100.0
Suzuki Ciaz 2021 1.5L GL,1.5,4,103,165,suzuki,ksa,5,14655.6
Mini Clubman 2021 Cooper,1.5,4,136,205,mini,ksa,5,43362.0
Porsche Panamera Sport Turismo 2021 4 E-Hybrid,2.9,6,462,275,porsche,ksa,5,155093.40000000002
Porsche Panamera Sport Turismo 2021 Turbo S E-Hybrid,4.0,8,680,310,porsche,ksa,5,268666.2
Porsche Panamera Sport Turismo 2021 Turbo,4.0,8,550,304,porsche,ksa,5,228719.7
Porsche Panamera Sport Turismo 2021 GTS,4.0,8,460,289,porsche,ksa,5,188238.6
Mercedes-Benz GLC Coupe 2021 AMG 43 4MATIC,3.0,4,367,250,mercedes-benz,ksa,5,91941.48000000001
Mercedes-Benz GLC Coupe 2021 250 4MATIC,2.0,4,211,222,mercedes-benz,ksa,5,72053.82
Alfa Romeo Giulia 2021 Super,2.0,4,330,221,alfa-romeo,ksa,5,47499.75
Suzuki Ciaz 2021 1.5L GLX,1.5,4,104,165,suzuki,ksa,5,17356.95
Mercedes-Benz GLC Coupe 2021 300 4MATIC,2.0,4,245,236,mercedes-benz,ksa,5,79852.23000000001
Chery Arrizo 3 2021 1.5L Comfort,1.5,4,107,175,chery,ksa,5,11367.0
Toyota Hiace 2021 3.5L GL STD Roof Panel Van (3-Seater),3.5,4,277,160,toyota,ksa,3,29404.350000000002
